現地コード,銘柄名(English),銘柄名,市場,業種,取扱
BCM,IPATH PURE BETA BROAD COMMODITY ETN,iPathピュア・ベータ・ブロード・コモディティETN,NYSE Arca,その他,○
BCS,BARCLAYS PLC,バークレイズ,NYSE,金融（銀行）,○
BDX,BECTON DICKINSON,ベクトン・ディッキンソン,NYSE,医療機器,○
BECN,BEACON ROOFING SUPPLY INC,ビーコン・ルーフィング・サプライ,NASDAQ,小売,○
BEN,FRANKLIN RES INC,フランクリン・リソーシズ,NYSE,金融（証券）,○
BG,BUNGE LIMITED,ブンゲ,NYSE,農業ビジネス,○
BGS,B&G FOODS INC,Ｂ＆Ｇフーズ,NYSE,小売,○
BHF,BRIGHTHOUSE FINANCIAL,ブライトハウス　ファイナンシャル,NASDAQ,金融（保険）,○
BHGE,BAKER HUGHES A GE CO,ベーカー・ヒューズ,NYSE,石油・ガス・パイプライン,○
BHP,BHP BILLITON LIMITED,ＢＨＰビリトン,NYSE,化学,○
BID,SOTHEBY'S,サザビーズ,NYSE,その他,○
BIDU,"BAIDU, INC.",バイドゥ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
BIG,BIG LOTS INC,ビッグ・ロッツ,NYSE,小売,○
BIIB,BIOGEN INC,バイオジェン,NASDAQ,医薬品（バイオテクノロジー）,○
BIV,VANGUARD INTERMEDIATE-TERM BOND ETF,バンガード・米国中期債券ETF,NYSE Arca,その他,○
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath シリーズB ブルームバーグ・ニッケル・サブ指数トータルリターンETN,NYSE Arca,その他,○
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,iPath シリーズB ブルームバーグ・コーヒー・サブ指数トータルリターンETN,NYSE Arca,その他,○
BK,THE BANK OF NEW YORK MELLON CORPORATION,バンク・オブ・ニューヨーク・メロン,NYSE,金融（銀行）,○
BKH,BLACK HILLS CORP,ブラック・ヒルズ,NYSE,電機・電力・エネルギー,○
BKI,NEW BLACK KNIGHT,ニュー　ブラックナイト,NYSE,ソフトウェア・ソフトウェアサービス,○
BKNG,BOOKING HOLDINGS,ブッキング　ホールディングス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
BLD,TOPBUILD CORP,トップビルド・コープ,NYSE,その他,○
BLDP,BALLARD POWER SYSTEMS INC.,バラード・パワー・システムズ,NASDAQ,その他製造,○
BLK,BLACKROCK INC,ブラックロック,NYSE,金融（証券）,○
BLL,BALL CORP,ボール,NYSE,その他製造,○
BLMN,"BLOOMIN' BRANDS, INC.",ブルーミン・ブランズ,NASDAQ,外食・レストラン,○
BLUE,"BLUEBIRD BIO, INC.",ブルーバード・バイオ,NASDAQ,バイオ,○
BLV,VANGUARD LONG-TERM BOND ETF,バンガード・米国長期債券ETF,NYSE Arca,その他,○
BMO,BANK OF MONTREAL,バンク・オブ・モントリオール,NYSE,金融（銀行）,○
BMRN,BIOMARIN PHARMACEUTICAL INC,バイオマリン・ファーマシューティカル,NASDAQ,医薬品,○
BMS,BEMIS CO INC,べミス,NYSE,その他製造,○
BMY,BRISTOL-MYERS SQUIBB COMPANY,ブリストル・マイヤーズ　スクイブ,NYSE,トイレタリー・ヘルスケア,○
BND,Vanguard TOTAL BOND MARKET ETF,バンガード・米国トータル債券市場ETF,NYSE Arca,その他,○
BNDX,VANGUARD TOTAL INTERNATIONAL BOND ETF ,バンガード・トータル・インターナショナル債券ETF（米ドルヘッジあり）,NASDAQ,その他,○
BNS,BANK NOVA SCOTIA,バンク・オブ・ノバスコシア,NYSE,金融（銀行）,○
BOX,"BOX, INC. ",ボックス,NYSE,ソフトウェア・ソフトウェアサービス,○
BP,BP P.L.C.,ＢＰ,NYSE,石油・ガス・パイプライン,○
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",ブロードリッジ・ファイナンシャル・ソリューションズ,NYSE,情報処理サービス,○
BRF,VanEck Vectors Brazil Small-Cap ETF,ヴァンエック・ベクトル・ブラジル小型株ETF,NYSE Arca,その他,○
BRFS,BRF ADR,ビーアールエフ,NYSE,食品・飲料,○
BRO,BROWN & BROWN INC,ブラウン・アンド・ブラウン,NYSE,金融（保険）,○
BSV,VANGUARD SHORT-TERM BOND ETF,バンガード・米国短期債券ETF,NYSE Arca,その他,○
BSX,BOSTON SCIENTIFIC CORPORATION,ボストン・サイエンティフィック,NYSE,医療機器,○
BT,BT GROUP PLC,ＢＴグループ,NYSE,通信関連,○
BTI,British American Tobacco p.l.c,ブリティッシュ・アメリカン・タバコ,NYSE,食品・飲料,○
BUD,ANHEUSER-SPN ADR,アンハイザー・ブッシュ・インベブ,NYSE,食品・飲料,○
BURL,BURLINGTON STORES INC,バーリントン・ストアーズ,NYSE,小売,○
BWA,BORGWARNER INC.,ボルグワーナー,NYSE,その他製造,○
BXS,BANCORPSOUTH BANK,バンコープサウス,NYSE,金融（銀行）,○
C,CITIGROUP INC.,シティグループ,NYSE,金融（銀行）,○
CA,CA TECHNOLOGIES,ＣＡテクノロジーズ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CAG,CONAGRA BRANDS,コナグラ・ブランズ,NYSE,食品・飲料,○
CAH,"CARDINAL HEALTH, INC.",カーディナルヘルス,NYSE,医薬品,○
CAKE,CHEESECAKE FACTO,ザ・チーズケーキ・ファクトリー,NASDAQ,外食・レストラン,○
CARS,Cars.com INC,カーズ・コム,NYSE,自動車・自動車関連,○
CASI,CASI PHARMACEUTICALS INC,CASIファーマシューティカルズ,NASDAQ,バイオ,○
CASY,CASEY'S GENERAL STORES INC,ケーシーズ・ゼネラル・ストアーズ,NASDAQ,小売,○
CAT,CATERPILLAR INC.,キャタピラー,NYSE,その他製造,○
CATM,CARDTRONICS INC,カードトロニクス,NASDAQ,金融（その他）,○
CAVM,CAVIUM INC,カビウム,NASDAQ,半導体関連,○
CB,CHUBB LTD,チャブ,NYSE,金融（保険）,○
CBOE,CBOE GLOBAL MARKETS INC.,シービーオーイー・グローバル・マーケッツ,NASDAQ,金融（その他）,○
CBRE,CBRE GROUP INC,CBREグループ,NYSE,金融（その他）,○
CBRL,CRACKER BARREL OLD COUNTRY,クラッカー・バレル・オールド・カントリー・ストアー,NASDAQ,外食・レストラン,○
CBS,CBS CORPORATION,CBSコープ,NYSE,その他,○
CC,CHEMOURS CO,ケマーズ,NYSE,化学,○
CCE,COCA-COLA EUROPEAN PARTNERS PL.,コカコーラ・ヨーロピアン・パートナーズ,NYSE,食品・飲料,○
CCIH,CHINACACHE-ADR,チャイナキャッシュ・インターナショナル　Ｈｌｄｇ,NASDAQ,インターネットサービス,○
CCJ,CAMECO CORPORATION,カメコ,NYSE,鉄鋼・鉱業,○
CCL,CARNIVAL CORPORATION,カーニバル,NYSE,運輸,○
CDAY,CERIDIAN HCM HOLDING INC.,セリディアンＨＣＭホールディングス,NYSE,ソフトウェア・ソフトウェアサービス,○
CDE,COEUR MINING INC,コーマイニング,NYSE,鉄鋼・鉱業,○
CDK,CDK GLOBAL INC,CDKグローバル,NASDAQ,情報処理サービス,○
CDNS,"CADENCE DESIGN SYSTEMS, INC.",ケイデンス・デザイン・システムズ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CDW,CDW CORPORATION,ＣＤＷ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CEIX,CONSOL ENERGY INC,コンソール・エナジー,NYSE,その他,○
CELG,CELGENE CORP,セルジーン,NASDAQ,医療・医療サービス,○
CEO,CNOOC LIMITED,ＣＮＯＯＣ (中国海洋石油),NYSE,石油・ガス・パイプライン,○
CERN,CERNER CORP,サーナー,NASDAQ,トイレタリー・ヘルスケア,○
CEVA,"CEVA, INC.",シーバ,NASDAQ,半導体関連,○
CF,CF INDUSTRIES HOLDINGS INC,ＣＦインダストリーズ・ホールディングス,NYSE,化学,○
CFG,CITIZENS FINANCIAL GROUP INC,シチズンズ・フィナンシャル・グループ,NYSE,金融（銀行）,○
CFX,COLFAX CORP,コルファックス・コーポレーション,NYSE,その他製造,○
CGNX,COGNEX CORPORATION,コグネックス,NASDAQ,その他製造,○
CHAD,DIREXION DAILY CSI 300 CHINA A SHARE BEAR 1X SHARES ,Direxion デイリー CSI 300 中国A株 ベア1倍 ETF,NYSE Arca,その他,○
CHAU,DIREXION DAILY CSI 300 CHINA A SHARE BULL 2X SHARES,Direxion デイリー CSI 300 中国A株 ブル2倍 ETF　,NYSE Arca,その他,○
CHD,CHURCH & DWIGHT CO INC,チャーチ・アンド・ドワイト,NYSE,化学,○
CHK,CHESAPEAKE ENERGY CORP,チェサピーク･エナジー,NYSE,石油・ガス・パイプライン,○
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,チェック・ポイント・ソフトウェア・テクノロジーズ,NASDAQ,ネットワーク・ネットワークセキュリティ,○
CHL,CHINA MOBILE LIMITED,チャイナモバイル,NYSE,通信関連,○
CHRW,CH ROBINSON WORLDWIDE INC.,シー･エッチ・ロビンソン・ワールドワイド,NASDAQ,運輸,○
CHT,"CHUNGHWA TELECOM CO., LTD.",チョンホア・テレコム (中華電信),NYSE,通信関連,○
CHTR,"CHARTER COMMUNICATIONS, INC.",チャーター・コミュニケーションズ,NASDAQ,通信関連,○
CHU,CHINA UNICOM (HONG KONG) LIMITED,チャイナユニコム　（ホンコン）,NYSE,通信関連,○
CI,CIGNA CORPORATION,シグナ,NYSE,医療・医療サービス,○
CIEN,CIENA CORPORATION,シエナ,NYSE,ネットワーク・ネットワークセキュリティ,○
CIG,CEMIG SA -SPONS ADR,ミナスジェライス電力,NYSE,電機・電力・エネルギー,○
CINF,CINCINNATI FINANCIAL CORP,シンシナティ・ファイナンシャル,NASDAQ,金融（保険）,○
CIU,iShares Intermediate Credit Bond ETF,iシェアーズ 米国クレジット債券 1-10年 ETF,NASDAQ,その他,○
CL,COLGATE-PALMOLIVE COMPANY,コルゲート・パルモリブ,NYSE,トイレタリー・ヘルスケア,○
CLB,CORE LABORATORIES N.V.,コア・ラボラトリーズ,NYSE,石油・ガス・パイプライン,○
CLGX,CORELOGIC INC,コアロジック,NYSE,サービス,○
CLH,CLEAN HARBORS INC,クリーンハーバーズ,NYSE,サービス,○
CLNE,CLEAN ENERGY FUELS CORP,クリーンエナジーフューエルズ,NASDAQ,自動車・自動車関連,○
CLR,CONTINENTAL RESOURCES INC ,コンチネンタル・リソーシズ,NYSE,石油・ガス・パイプライン,○
CLSN,CELSION CORPORATION,セルシオン,NASDAQ,医療・医療サービス,○
CLX,CLOROX COMPANY,クロロックス,NYSE,その他製造,○
CM,CAN IMPL BK COMM,カナディアン・インペリアル・バンク・オブ・コマース,NYSE,金融（銀行）,○
CMA,COMERICA INCORPORATED,コメリカ,NYSE,金融（銀行）,○
CMCM,CHEETAH MOBILE INC,チータ・モバイル,NYSE,ソフトウェア・ソフトウェアサービス,○
CMCSA,COMCAST CORPORATION,コムキャスト,NASDAQ,通信関連,○
CME,CME GROUP INC,ＣＭＥグループ,NASDAQ,金融（その他）,○
CMG,CHIPOTLE MEXICAN GRILL INC,チポトレ・メキシカン・グリル,NYSE,外食・レストラン,○
CMI,CUMMINS INC,カミンズ,NYSE,電機・電力・エネルギー,○
CMS,CMS ENERGY CORPORATION,ＣＭＳエナジー,NYSE,電機・電力・エネルギー,○
CNA,CNA FINANCIAL CORPORATION,ＣＮＡファイナンシャル,NYSE,金融（保険）,○
CNC,CENTENE CORPORATION,センティーン,NYSE,医療・医療サービス,○
CNDT,CONDUENT INC,コンデュエント,NYSE,インターネットサービス,○
CNI,CAN NATL RAILWAY,カナディアン・ナショナル・レールウェイ,NYSE,運輸,○
CNK,CINEMARK HOLDINGS INC,シネマーク・ホールディングス,NYSE,エンターテイメント・メディア,○
CNP,"CENTERPOINT ENERGY, INC.",センターポイント・エナジー,NYSE,電機・電力・エネルギー,○
CNQ,CANADIAN NAT RES,カナディアン・ナチュラルリソーシズ,NYSE,石油・ガス・パイプライン,○
CNX,CNX RESOUURCES CORP,CNX・リソーシーズ,NYSE,電機・電力・エネルギー,○
CNXT,VanEck Vectors ChinaAMC SME-ChiNext ETF,ヴァンエック・ベクトル中国AMC中小企業・創業板ETF,NYSE Arca,その他,○
COF,CAPITAL ONE FINA,キャピタル・ワン・ファイナンシャル,NYSE,金融（銀行）,○
COG,CABOT OIL & GAS CORP,キャボット・オイル＆ガス,NYSE,石油・ガス・パイプライン,○
COHR,COHERENT INC,コヒーレント,NASDAQ,半導体関連,○
COL,ROCKWELL COLLINS,ロックウェル・コリンズ,NYSE,航空機・宇宙,○
COLM,COLUMBIA SPORTSWEAR COMPANY,コロンビア・スポーツウエア,NASDAQ,その他製造,○
COO,"THE COOPER COMPANIES, INC.",クーパー,NYSE,トイレタリー・ヘルスケア,○
COP,CONOCOPHILLIPS,コノコフィリップス,NYSE,石油・ガス・パイプライン,○
COST,COSTCO WHOLESALE CORPORATION,コストコホールセール,NASDAQ,小売,○
COTY,COTY INC.  CL-A,コティ クラスＡ,NYSE,その他製造,○
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath シリーズB ブルームバーグ畜産物サブ指数トータルリターンETN,NYSE Arca,その他,○
CP,CANADIAN PACIFIC,カナディアン・パシフィック鉄道,NYSE,運輸,○
