現地コード,銘柄名(English),銘柄名,市場,業種,取扱
ECPG,ENCORE CAP GRP,ENCORE CAP GRP,NASDAQ,消費者金融サービス,-
ECR,ECLPS RSRCS CRP,ECLPS RSRCS CRP,NYSE,石油 & ガス探査 / 生産,-
ECYT,ENDOCYTE INC,ENDOCYTE INC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ED,"CONSOLIDATED EDISON, INC.",コンソリデーテッド・エジソン,NYSE,電機・電力・エネルギー,○
EDAP,EDAP TMS SA,EDAP TMS SA,NASDAQ,先端医療機器 & テクノロジー,-
EDBI,LEG MSON INV EMG,LEG MSON INV EMG,NASDAQ,--,-
EDC,DIREXION DAILY EMERGING MARKETS BULL 3X SHARES,Direxion デイリー 新興国株 ブル3倍 ETF,NYSE Arca,その他,○
EDD,MS EMRG MRKT DOM,MS EMRG MRKT DOM,NYSE,クローズドエンド型投資信託,-
EDF,STONE HARBR EMIF,STONE HARBR EMIF,NYSE,クローズドエンド型投資信託,-
EDGE,EDGE THERAPE INC,EDGE THERAPE INC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
EDGW,EDGEWATER TECH,EDGEWATER TECH,NASDAQ,IT サービス & コンサルティング,-
EDI,STONE HRBR EMG,STONE HRBR EMG,NYSE,クローズドエンド型投資信託,-
EDIT,EDITAS MEDICINE,EDITAS MEDICINE,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
EDIV,SS SPDR EM MK DI,SS SPDR EM MK DI,NYSE Arca,--,-
EDN,EMPRESA DSTRIBDR,EMPRESA DSTRIBDR,NYSE,公益企業 - 電力,-
EDOG,ALPS EM SC DV DG,ALPS EM SC DV DG,NYSE Arca,--,-
EDOW,FT DOW30 EQL WGT,FT DOW30 EQL WGT,NYSE Arca,--,-
EDR,EDUCATION REALTY,EDUCATION REALTY,NYSE,住宅 REIT,-
EDRY,EURODRY LTD,EURODRY LTD,NASDAQ,--,-
EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,ニューオリエンタルエデュケーションアンドテクノロジー,NYSE,サービス,○
EDUC,EDUCATION DVEL,EDUCATION DVEL,NASDAQ,一般向け出版,-
EDV,VANGUARD EXTENDED DURATION TREASURY ETF,バンガード・超長期米国債ETF,NYSE Arca,その他,○
EDZ,DIREXION DAILY EMERGING MARKETS BEAR 3X SHARES,Direxion デイリー 新興国株 ベア3倍 ETF,NYSE Arca,その他,○
EE,EL PASO ELECTRIC CO,エルパソ・エレクトリック,NYSE,電機・電力・エネルギー,○
EEA,EUROPEAN EQTY FD,EUROPEAN EQTY FD,NYSE,クローズドエンド型投資信託,-
EEB,INVSC BRIC,INVSC BRIC,NYSE Arca,--,-
EEFT,EURONET WRLDWDE,EURONET WRLDWDE,NASDAQ,事業サポート サービス,-
EEI,ECOLOGY & ENVIR,ECOLOGY & ENVIR,NASDAQ,環境サービス & 装置,-
EELV,INVS S&P EMG MKT,INVS S&P EMG MKT,NYSE Arca,--,-
EEM,iShares MSCI Emerging Markets ETF,iシェアーズ MSCI エマージング・マーケット ETF,NYSE Arca,その他,○
EEMA,ISH MSCI EM ASIA,ISH MSCI EM ASIA,NASDAQ,--,-
EEMD,AAM SP EMRG MRKT,AAM SP EMRG MRKT,NYSE Arca,--,-
EEMO,INVS S&P MOMNTUM,INVS S&P MOMNTUM,NYSE Arca,--,-
EEMS,iShares MSCI Emerging Markets Small‐Cap ETF,iシェアーズ MSCI エマージング・マーケット小型株 ETF,NYSE Arca,その他,○
EEMX,SPDR MSCI EM FF,SPDR MSCI EM FF,NYSE Arca,--,-
